Stack,Plate,Count,Avg_Area_um2,Avg_Circ
Stack_01,1_Plate_09,245994,82.2,0.62
Stack_01,2_Plate_08,216952,115.9,0.587
Stack_01,3_Plate_07,244781,87.3,0.651
Stack_01,4_Plate_06,197686,128.0,0.578
Stack_01,5_Plate_05,227371,124.6,0.603
Stack_01,6_Plate_04,16091,51.0,0.71
Stack_01,7_Plate_03,13421,43.8,0.779
Stack_01,8_Plate_02,5787,67.5,0.741
Stack_02,10_Plate_001,24955,32.0,0.565
Stack_02,1_Plate-0001,429943,44.6,0.613
Stack_02,2_Plate-0001,504675,192.4,0.765
Stack_02,3_Plate-0001,492439,279.2,0.695
Stack_02,4_Plate-0001,498347,268.7,0.72
Stack_02,5_Plate-0001,506437,287.9,0.73
Stack_02,6_Plate-0001,488378,329.9,0.726
Stack_02,7_Plate-0001,137362,70.6,0.805
Stack_02,8_Plate-0001,121953,75.6,0.799
Stack_02,9_Plate-0001,306163,37.7,0.8
Stack_03,Plate_01_p1,1089177,29.6,0.701
Stack_03,Plate_02_p1,1174887,70.2,0.756
Stack_03,Plate_03_p1,997403,112.7,0.679
Stack_03,Plate_04_p1,1048569,104.0,0.697
Stack_03,Plate_05_p1,824745,209.7,0.63
Stack_03,Plate_06_p1,915009,160.7,0.681
Stack_03,Plate_07_p1,60014,41.1,0.831
Stack_03,Plate_08_p1,56852,38.1,0.839
Stack_03,Plate_09_p1,34492,29.7,0.807
Stack_03,Plate_10_p1,26061,33.3,0.8
