stack,plate,plate_num,n_plates,depth_mm,count,cycles,scan_area_mm2,track_density_per_mm2,track_density_per_cycle,total_area_um2,avg_area_um2,energy_dep_frac
Stack_01,1_Plate_09,1,8,0.03,245994,1,406.45135815099206,605.2237126702281,605.2237126702281,20225850.802333303,82.22091108861721,0.04976204506818164
Stack_01,2_Plate_08,2,8,2.09,216952,1,442.5781223022778,490.20046194652,490.20046194652,25151509.84790486,115.93121910793568,0.056829537160733294
Stack_01,3_Plate_07,3,8,4.15,244781,1,469.72049894016084,521.1205398791493,521.1205398791493,21367943.89755533,87.29412780222047,0.04549076300857259
Stack_01,4_Plate_06,4,8,6.21,197686,1,469.10851741585816,421.40782497187985,421.40782497187985,25309060.526666597,128.02657004879757,0.0539513984228738
Stack_01,5_Plate_05,5,8,8.27,227371,1,471.4869863155419,482.24236638385673,482.24236638385673,28333943.098054357,124.61546590398228,0.06009485716556323
Stack_01,6_Plate_04,6,8,10.33,16091,1,470.82686072231877,34.176045044061425,34.176045044061425,820438.4046750283,50.98740940121983,0.0017425480003760898
Stack_01,7_Plate_03,7,8,12.39,13421,1,469.7482308030727,28.57062383621054,28.57062383621054,587204.4493907747,43.75265996503798,0.0012500407896947289
Stack_01,8_Plate_02,8,8,14.45,5787,1,470.1466712843472,12.308924753611606,12.308924753611606,390676.9992357761,67.50941752821429,0.0008309683405149381
Stack_02,1_Plate-0001,1,10,0.03,429943,5,457.65984225842396,939.4378975405641,187.88757950811282,19174263.608000003,44.59722244111429,0.04189632088622927
Stack_02,2_Plate-0001,2,10,2.09,504675,5,3975.816319245624,126.93619611072918,25.387239222145837,97077797.38300002,192.35705628969143,0.02441707302047084
Stack_02,3_Plate-0001,3,10,4.15,492439,5,3957.5903625845554,124.42899716341698,24.885799432683395,137498138.74600002,279.218621486113,0.03474289306086876
Stack_02,4_Plate-0001,4,10,6.21,498347,5,3977.274839666583,125.2986077375977,25.05972154751954,133920538.98199998,268.7294976833411,0.03367143191774662
Stack_02,5_Plate-0001,5,10,8.27,506437,5,3962.1783832518295,127.81781914229673,25.563563828459344,145799728.49799997,287.8931209568021,0.03679787086676788
Stack_02,6_Plate-0001,6,10,10.33,488378,5,3591.1914456165982,135.993306788507,27.1986613577014,161129849.80399993,329.9285590341906,0.044868075747026726
Stack_02,7_Plate-0001,7,10,12.39,137362,5,3582.6612715363603,38.34077228883398,7.668154457766796,9696969.101,70.59426261265853,0.0027066385477300865
Stack_02,8_Plate-0001,8,10,14.45,121953,5,3582.55784854423,34.0407622586068,6.80815245172136,9215226.909000002,75.56375742294163,0.002572247901801391
Stack_02,9_Plate-0001,9,10,16.51,306163,5,3582.853857078616,85.45227134930893,17.090454269861787,11549829.606,37.72444614796694,0.0032236396087384628
Stack_02,10_Plate_001,10,10,18.57,24955,5,413.1859262336,60.396539222614685,12.079307844522937,798747.2959999999,32.00750534962933,0.001933142552266937
Stack_03,Plate_01_p1,1,10,0.03,1089177,10,440.01768216449994,2475.3027983834813,247.53027983834812,32288756.806999993,29.645096074375417,0.07338058927124863
Stack_03,Plate_02_p1,2,10,2.09,1174887,10,1301.8987773479719,902.441127099988,90.2441127099988,82438589.0,70.16724927588781,0.063321811522038
Stack_03,Plate_03_p1,3,10,4.15,997403,10,1301.722713471384,766.2177126341785,76.62177126341786,112424810.0,112.717537444744,0.0863661737146691
Stack_03,Plate_04_p1,4,10,6.21,1048569,10,1301.63628479788,805.5775735867899,80.55775735867898,109085438.0,104.03267500755791,0.08380638990633157
Stack_03,Plate_05_p1,5,10,8.27,824745,10,1302.5318334880283,633.186060252692,63.3186060252692,172961882.0,209.71558724211727,0.13278898645941595
Stack_03,Plate_06_p1,6,10,10.33,915009,10,1345.464603233694,680.0691729837146,68.00691729837146,147053353.0,160.7124662161793,0.10929559398781022
Stack_03,Plate_07_p1,7,10,12.39,60014,10,1343.4689631069,44.6709240392215,4.46709240392215,2469506.0,41.14883193921418,0.0018381563458593282
Stack_03,Plate_08_p1,8,10,14.45,56852,10,1347.9012143441657,42.178165131828216,4.217816513182822,2168877.0,38.149528600576936,0.0016090771170165373
Stack_03,Plate_09_p1,9,10,16.51,34492,10,1215.2204202198147,28.383328181533457,2.838332818153346,1022885.0,29.655717267772236,0.0008417279556699481
Stack_03,Plate_10_p1,10,10,18.57,26061,10,1214.8685693077077,21.451703219921846,2.1451703219921847,868528.0,33.326733433099264,0.0007149151948962926
