layer,material,depth_mm,edep_MeV,edep_per_mm_MeV,trackLen_mm,norm_edep
0,emulsion,10.27,165.724,2762.07,58.4098,0.445844
1,glass,9.24,4340.75,2170.38,122.033,0.350334
2,glass,7.24,4748.59,2374.29,92.973,0.38325
3,emulsion,6.21,201.847,3364.11,2.38512,0.543023
4,emulsion,6.15,196.432,3273.87,1.88216,0.528456
5,glass,5.12,5461.21,2730.6,14.8602,0.440764
6,glass,3.12,6588.11,3294.05,8.93082,0.531714
7,emulsion,2.09,304.86,5081,0.267925,0.820156
8,emulsion,2.03,321.878,5364.63,0.267925,0.865939
9,glass,1,12390.3,6195.16,9.51821,1
10,glass,-1,0,0,12.3317,0
11,emulsion,-2.03,0,0,0.369952,0
12,emulsion,-2.09,0.136849,2.28082,0.333559,0.000368161
13,glass,-3.12,0,0,8.73145,0
14,glass,-5.12,0.0165797,0.00828986,0.287737,1.33812e-06
15,emulsion,-6.15,0,0,0,0
16,emulsion,-6.21,0,0,0,0
17,glass,-7.24,0,0,0,0
18,glass,-9.24,0,0,0,0
19,emulsion,-10.27,0,0,0,0
